ID-Car,Brand,Model,Year,Price,Mileage,Color,VIN
0,toyota,cruiser,2008,630,274117,black,  jtezu11f88k007763
1,ford,se,2011,289.9,190552,silver,  2fmdk3gc4bbb02217
2,dodge,mpv,2018,535,39590,silver,  3c4pdcgg5jt346413
3,ford,door,2014,2500,64146,blue,  1ftfw1et4efc23745
4,chevrolet,1500,2018,2770,6654,red,  3gcpcrec2jg473991
5,dodge,mpv,2018,570,45561,white,  2c4rdgeg9jr237989
6,chevrolet,pk,2010,730,149050,black,  1gcsksea1az121133
7,gmc,door,2017,1335,23525,gray,  1gks2gkc3hr326762
8,chevrolet,malibu,2018,1460,9371,silver,  1g1zd5st5jf191860
9,ford,mpv,2017,525,63418,black,  2fmpk3j92hbc12542
10,dodge,coupe,2009,1040,107856,orange,  2b3lj54t49h509675
11,gmc,mpv,2017,1292,39650,white,  1gks2bkc6hr136280
12,chevrolet,1500,2018,3190,22909,black,  3gcukrec0jg176059
13,chrysler,wagon,2017,543,138650,gray,  2c4rc1cg5hr616095
14,ford,door,2013,2070,100757,black,  1ftfw1et7dfa47790
15,gmc,door,2017,1271,25747,white,  1gks2gkc6hr328389
16,kia,forte,2018,520,46194,blue,  3kpfk4a77je198723
17,buick,encore,2018,1650,20002,red,  kl4cj1sb6jb688844
18,ford,mpv,2017,521,35714,white,  2fmpk3j95hbb73607
19,ford,door,2013,3810,54380,gray,  1ft8w3dt5deb68569
20,gmc,door,2017,1252,30114,white,  1gks2gkcxhr328380
21,kia,forte,2018,730,38823,black,  3kpfl4a79je272611
22,chevrolet,door,2015,1500,61578,black,  2gnflhe33f6214023
23,ford,mpv,2017,618,46010,blue,  2fmpk3j84hbc09276
24,ford,door,2013,2080,105510,silver,  1ftfw1efxdfa01008
25,gmc,door,2017,1190,28040,silver,  1gks2gkc2hr327918
26,kia,sorento,2020,2150,11451,blue,  5xypg4a59lg616029
27,buick,door,2014,1200,31039,brown,  1g4ps5sk1e4188639
28,ford,doors,2017,419,44174,white,  1fadp5auxhl109013
29,ford,chassis,2008,1300,93698,white,  1fdwf37r28eb95687
30,gmc,door,2017,1271,26364,silver,  1gks2gkc6hr326335
31,infiniti,q70,2016,1850,71967,gray,  jn1by1ar7gm271292
32,chevrolet,camaro,1973,2980,46226,red,  1q87t3n166389
33,ford,mpv,2017,533,37792,no_color,  2fmpk3j9xhbb56401
